Key,BPM,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Placering
6,145,76,61,57,8,0,9,9,0
4,105,89,59,65,0,0,14,8,1
5,140,68,45,42,1,0,11,6,0
4,118,74,74,32,20,0,9,5,0
2,100,56,34,35,26,0,10,6,0
12,140,94,64,80,28,0,48,5,0
12,126,84,71,82,17,0,10,5,1
11,172,83,43,32,5,0,32,7,0
2,160,71,57,51,1,0,17,7,0
2,150,76,50,36,4,0,36,5,1
6,135,89,54,38,14,0,3,16,0
8,110,92,59,56,0,0,38,3,0
4,129,82,61,29,2,0,23,3,1
5,117,85,60,34,4,0,8,5,2!
5,111,88,73,46,4,0,3,5,0
10,90,79,56,81,3,0,17,3,1
1,132,97,63,74,1,0,30,6,0
10,85,80,54,58,14,0,6,4,1
12,128,86,55,42,0,0,23,5,2
----------------------------------
3,130,86,71,69,4,0,35,13,0
7,158,88,53,75,0,0,13,3,1
3,158,80,41,12,1,0,17,7,1
9,104,92,65,84,5,0,18,4,1
10,150,72,52,33,12,0,13,4,0
6,95,74,57,58,7,0,23,5,0
9,170,72,45,30,10,0,17,6,0
8,144,87,58,82,1,0,42,4,0
2,79,66,29,36,0,0,31,4,1
8,130,66,59,42,3,0,27,4,1
8,134,69,58,19,1,0,28,3,0
3,130,90,68,49,0,0,13,4,0
3,160,91,44,32,0,0,44,7,2
8,122,91,69,39,2,0,39,7,0
11,100,69,60,45,17,0,23,3,0
5,125,75,66,55,1,0,16,4,1
2,85,79,48,57,4,0,17,14,0
6,110,83,54,24,0,0,24,4,1
9,122,82,61,74,0,0,10,7,0
5,140,56,65,56,22,0,8,5,0
8,101,74,60,56,1,0,42,4,0
1,106,89,76,75,8,0,4,8,2!
11,144,71,56,36,55,0,12,4,0
5,124,68,54,56,5,0,13,4,1
3,140,97,55,76,6,0,29,6,0
1,159,76,39,30,2,0,18,6,0
2,130,86,54,71,3,0,5,5,1
9,128,92,61,74,1,0,10,4,0
12,73,51,57,25,37,0,8,3,0
8,115,90,69,21,3,0,12,5,1

