Key,BPM,Energy,Danceability,Happiness,Acousticness,Instrumentalness,Liveness,Speechiness,Placering
10,140,93,58,97,5,0,10,4,0
1,128,94,51,76,17,0,21,4,0
10,108,91,65,83,8,0,34,11,1
4,93,67,38,27,17,0,13,3,1
7,131,91,55,54,1,0,2,5,2!
-----------------------------------
9,116,88,73,97,9,0,29,3,0
2,99,33,57,58,90,0,10,3,0
10,138,99,57,81,0,0,71,8,1
9,107,83,78,86,0,0,29,3,0
5,117,60,91,22,78,47,24,5,0
12,129,64,40,43,0,0,8,4,1
10,129,93,86,22,69,28,27,3,0
8,116,80,56,67,1,0,8,4,0
5,136,58,81,21,81,21,14,4,0
10,143,31,57,48,80,0,12,3,1
10,102,98,52,58,0,0,25,7,0
1,123,58,93,23,80,38,31,12,0
3,132,97,59,82,0,0,20,5,0
7,130,94,67,62,11,0,54,6,0
10,155,58,29,27,77,0,9,4,0
5,134,85,64,82,2,0,8,3,2!
1,128,93,62,46,17,0,30,5,2
3,137,90,71,87,1,0,6,9,0
7,160,96,51,81,1,0,21,4,0
7,117,60,92,22,79,34,11,11,0
6,129,84,64,65,0,1,3,7,0
1,118,90,52,35,0,0,28,3,1
8,140,39,36,14,0,85,11,3,1
1,154,77,87,93,9,0,9,9,0
2,132,90,61,67,0,0,24,4,0
7,136,8,82,17,96,18,8,12,0
5,130,94,53,56,6,0,23,6,1
8,175,73,37,62,13,0,17,7,0
5,129,93,71,69,3,0,5,8,0
1,80,52,52,34,3,0,17,3,1
4,130,86,57,81,0,0,33,3,0
3,120,92,57,92,1,0,34,3,2
---------------------------------
6,155,93,49,76,1,0,38,5,0
4,124,82,66,59,3,0,36,3,0
1,130,91,51,15,0,0,12,3,0
10,108,30,84,21,88,39,12,3,0
4,170,89,38,47,0,0,4,3,0
7,130,67,68,73,3,0,28,14,1
11,130,51,57,26,51,0,14,3,0
7,126,94,63,94,1,0,7,3,1
5,121,59,54,66,0,0,42,5,0
4,109,70,54,22,4,17,17,3,0
8,129,19,86,21,91,26,25,5,0
2,123,74,92,19,76,24,23,5,0
10,122,77,59,95,0,92,26,3,1
6,134,65,48,17,34,0,23,3,2
3,105,92,65,82,59,0,10,12,0
10,110,83,44,28,1,0,9,5,0
4,130,86,60,83,2,0,37,3,2
10,108,83,84,17,74,19,12,3,0
1,110,95,78,97,8,0,19,7,1
5,152,75,68,20,75,23,12,3,0
4,141,74,45,50,8,0,72,4,0
1,110,95,59,80,1,0,9,4,0
11,138,50,51,24,17,0,11,3,0
2,117,72,51,49,0,0,23,3,0
1,127,89,55,94,1,2,8,4,0
1,117,89,93,15,72,22,9,9,0
4,152,69,68,20,77,23,14,8,0
3,132,92,54,61,3,0,78,7,1
3,105,88,57,35,42,0,9,4,1
3,146,41,52,15,0,80,11,3,1
9,170,98,59,88,0,0,49,5,0
12,127,89,62,91,0,0,9,4,2!
-----------------------------------
4,152,99,68,21,68,21,13,5,0
2,103,96,56,57,0,0,27,6,0
7,131,64,61,15,4,0,14,3,0
1,202,96,43,75,5,0,9,13,0
4,172,85,57,59,26,0,27,20,1
7,135,95,54,60,0,0,6,9,1
9,150,28,51,19,64,0,19,4,2
5,172,93,57,56,21,0,33,7,0
6,128,96,59,67,0,0,35,4,0
7,161,91,23,46,4,0,33,11,0
5,136,35,82,23,86,33,16,4,0
3,126,96,61,56,5,0,4,7,1
8,132,69,61,48,9,0,35,3,0
8,128,82,63,53,0,0,34,4,0
1,129,85,86,22,70,31,15,5,0
7,130,90,62,90,1,0,16,3,1
4,136,55,81,23,80,26,3,11,0
8,112,48,88,23,81,33,4,11,0
6,179,50,27,18,39,0,15,3,1
9,123,89,66,66,0,0,16,5,2
10,146,96,47,68,0,0,19,5,0
7,135,63,80,81,11,0,36,5,0
10,99,66,77,23,76,23,12,4,1
1,132,75,58,38,17,0,10,4,0
9,116,91,56,56,6,0,8,9,1
9,128,96,56,64,0,0,40,6,0
2,148,57,52,34,40,0,11,3,0
6,103,67,80,24,76,35,14,6,0
8,143,91,52,61,5,0,33,4,0
11,136,68,50,29,5,0,8,4,1
6,103,67,80,24,76,35,17,5,0
11,128,66,53,46,36,0,21,4,2!
--------------------------------
6,138,92,73,38,11,0,6,5,1
9,123,40,77,39,2,1,13,4,0
9,106,95,68,59,4,0,5,5,0
2,136,58,82,15,81,13,12,8,0
1,117,82,93,19,74,25,3,11,0
10,101,38,29,18,54,0,12,3,1
2,108,87,73,62,21,0,11,23,0
6,152,83,40,52,3,0,24,4,2
9,130,81,63,36,0,1,11,4,2
4,99,91,72,92,47,0,43,25,0
1,154,44,34,33,40,0,12,3,0
2,145,87,57,72,1,0,23,4,0
5,122,96,59,60,11,0,4,7,0
2,140,57,50,20,1,0,13,3,1
10,102,73,48,53,24,0,51,4,0
1,128,95,73,62,6,0,76,6,0
8,132,88,59,68,3,0,5,5,0
2,144,63,76,19,80,21,13,11,0
1,135,86,54,27,1,0,33,6,0
8,97,55,51,34,41,0,16,2,0
9,117,82,92,19,73,32,11,3,0
3,100,90,60,73,1,0,43,5,1
1,73,60,50,26,10,0,31,3,1
10,112,82,88,20,72,16,16,4,0
1,174,92,49,65,0,0,6,17,0
5,83,58,57,51,68,0,15,3,0
10,140,96,55,85,0,0,10,3,0
8,108,19,84,20,91,31,9,12,0
4,83,60,54,45,45,0,28,3,2!
1,125,79,60,83,0,0,10,7,1
5,158,98,50,52,0,0,36,9,0
12,126,70,54,44,14,0,27,5,1
-----------------------------------
11,130,82,68,73,1,0,11,8,0
3,184,93,50,73,0,8,34,6,1
7,130,95,61,97,12,0,16,3,0
2,90,66,69,92,13,0,4,3,0
8,127,95,69,79,6,0,40,4,0
3,112,53,88,21,82,26,31,11,0
12,98,86,50,74,25,0,24,3,0
12,128,90,65,54,2,0,22,8,2
1,160,92,40,40,0,0,28,8,1
10,127,69,56,31,9,0,36,4,0
1,130,97,68,93,2,0,24,5,0
1,78,48,21,9,40,0,9,3,0
7,125,88,52,60,0,0,32,4,1
10,105,82,58,69,11,0,8,4,2
12,126,87,63,55,0,0,33,4,0
9,128,82,53,58,10,0,28,5,0
3,123,84,67,94,16,3,33,6,0
5,136,17,81,17,93,24,15,3,0
1,134,47,45,25,42,0,12,3,0
8,103,70,80,20,74,25,19,3,1
1,160,81,56,50,4,0,6,4,0
10,104,88,55,63,0,0,27,7,0
2,93,90,67,53,7,0,23,3,1
10,138,84,60,58,0,0,4,4,2!
1,120,57,79,59,27,0,9,5,0
10,125,96,54,49,0,0,5,10,0
6,144,84,42,49,0,0,24,4,0
11,126,89,63,59,2,8,14,3,0
1,127,76,59,50,0,0,14,3,0
3,152,93,60,68,4,0,27,9,1
4,146,68,41,32,0,0,19,3,1
4,131,88,60,37,0,0,9,10,0
-----------------------------------------------
5,128,93,69,73,2,0,32,5,0
5,188,48,34,36,41,0,9,3,0
3,120,84,54,75,0,72,19,3,0
11,140,98,59,87,1,0,7,5,0
5,93,98,51,44,0,0,10,5,1
1,174,88,52,46,0,0,15,7,0
1,112,50,55,43,57,0,14,4,1
3,132,68,52,11,8,0,6,4,2!
3,154,82,52,50,2,0,13,5,2
1,102,93,59,67,0,76,26,3,1
2,113,42,55,19,41,0,15,3,0
8,129,60,86,20,79,26,18,4,0
2,122,92,55,73,0,0,37,6,0
4,129,21,86,24,89,29,18,5,1
7,118,79,63,49,0,11,6,3,0
3,127,84,56,42,3,0,13,4,0
11,127,80,66,77,3,0,9,4,0
6,144,50,76,20,83,17,15,3,0
6,144,55,75,22,81,29,12,4,0
8,129,55,87,21,80,31,16,11,0
2,140,70,71,49,21,0,18,3,0
8,103,69,80,21,76,31,14,11,0
9,138,35,61,20,27,0,16,3,1
6,130,90,73,60,4,0,32,6,1
9,128,90,64,83,0,0,35,6,0
7,136,15,81,19,93,26,9,11,0
4,136,93,80,23,68,32,23,3,0
8,124,84,49,63,9,0,11,7,0
10,158,84,51,53,3,0,41,11,0
1,172,90,54,78,3,0,6,14,0
9,144,71,55,60,25,0,8,4,1
9,128,90,54,44,0,0,40,4,2
------------------------------------------------
6,130,84,49,36,0,0,43,11,1
4,125,73,58,53,1,0,27,4,0
5,104,77,71,66,18,0,33,6,0
9,128,91,70,60,1,0,36,18,0
12,138,84,66,80,11,0,7,4,0
12,116,92,65,63,1,0,12,3,2
5,101,29,24,19,67,0,13,3,0
7,129,88,87,22,70,29,16,3,0
1,129,86,64,69,0,0,16,7,1
2,129,61,87,20,79,26,17,4,0
10,96,88,56,91,11,0,30,3,0
6,128,86,63,70,1,0,14,6,0
2,105,54,61,55,3,0,18,3,0
5,132,91,59,77,1,0,14,3,1
6,129,43,88,16,86,19,13,5,0
7,128,80,78,89,7,0,34,4,1
3,128,80,64,56,0,0,25,13,0
6,117,65,94,19,80,16,16,6,0
5,116,82,67,90,17,0,33,3,1
4,122,75,52,23,0,0,28,4,0
6,122,88,61,81,1,0,25,5,0
1,167,36,37,25,71,0,11,4,0
2,81,45,50,27,0,19,12,2,1
5,129,72,87,20,75,28,11,3,0
3,127,91,52,51,0,2,10,4,0
11,112,68,88,21,77,27,12,4,0
7,126,67,62,53,16,0,13,4,2!
8,84,76,43,60,16,0,10,8,0
11,158,94,48,26,5,0,27,9,1
3,130,91,77,92,15,0,41,7,0
9,121,56,64,45,56,0,9,4,0
2,128,80,49,15,0,0,7,4,2
-----------------------------------------------
9,152,51,67,20,82,28,16,5,1
3,124,86,69,88,48,0,59,4,0
1,117,51,56,33,23,0,12,3,1
5,146,91,58,59,0,0,21,3,0
4,126,77,84,87,1,0,6,4,0
2,171,33,31,23,71,0,14,3,1
3,135,78,45,58,6,0,27,4,0
9,204,67,42,63,2,0,17,4,1
9,129,90,56,32,0,0,48,7,0
3,183,90,43,97,13,0,6,5,0
9,130,61,56,52,26,0,11,3,0
10,104,85,73,97,14,0,6,13,1
2,135,88,52,77,0,0,33,6,0
7,122,49,58,26,40,0,8,4,2!
11,132,94,53,48,0,0,25,9,0
4,127,88,66,38,1,0,14,5,0
3,172,95,39,31,0,0,6,10,0
4,129,84,87,18,73,30,18,7,0
3,97,97,67,60,0,0,32,5,1
8,120,77,54,13,2,0,7,3,0
9,152,67,67,21,77,25,19,9,0
3,140,41,56,51,58,0,10,3,0
6,130,78,70,71,10,0,10,3,2
3,180,92,54,53,1,0,22,7,0
8,140,92,63,39,0,0,33,4,2
6,135,80,64,65,20,0,4,6,0
10,120,74,56,36,3,0,19,3,0
1,128,95,50,34,0,8,31,8,0
12,164,76,43,36,2,0,28,4,0
10,179,87,51,30,0,0,14,4,0
8,93,38,44,19,72,0,11,3,0
4,127,83,62,51,4,0,9,5,1
----------------------------------------------
6,117,72,92,21,75,35,14,3,0
1,90,38,55,36,43,0,10,3,0
4,136,69,81,19,77,29,18,11,0
9,128,84,60,79,0,0,10,10,0
8,94,87,55,30,2,0,35,8,0
9,142,45,48,9,1,93,6,3,1
6,124,89,55,51,0,0,17,4,1
8,123,35,92,19,88,22,25,11,1
3,89,26,26,12,91,0,12,3,0
11,128,88,67,66,1,0,19,4,1
10,83,83,46,42,2,0,24,3,0
10,132,39,52,15,77,0,12,3,0
10,132,93,65,69,5,0,11,9,1
6,101,70,54,14,39,0,36,3,2
9,129,74,87,18,76,24,27,3,0
5,129,71,87,19,77,25,27,6,0
5,124,80,63,37,2,0,9,3,0
1,144,88,53,32,0,0,12,4,0
9,152,66,67,21,77,33,14,3,1
10,138,28,32,23,83,0,9,3,0
5,100,63,45,16,0,8,4,3,2
6,123,54,91,22,80,35,24,11,0
6,103,75,81,17,76,20,3,8,0
4,136,15,80,20,92,31,29,11,1
10,104,79,61,66,3,0,15,2,1
10,128,93,75,81,1,0,33,15,1
8,148,76,43,22,18,0,21,6,0
8,124,79,48,37,7,0,5,4,2!
------------------------------------------------ 
2,130,87,70,58,20,0,21,5,1
9,130,22,70,26,79,0,11,4,0
1,123,60,92,20,80,26,14,3,0
1,135,79,64,85,11,0,32,7,0
3,130,91,61,78,0,0,18,3,0
2,100,87,55,57,14,0,22,4,1
7,125,80,61,66,2,0,8,4,2
2,132,86,45,31,10,0,16,5,1
6,161,59,60,20,80,34,17,6,0
2,125,86,65,23,4,0,38,4,0
11,166,48,28,27,21,0,9,4,0
1,140,87,64,72,1,0,29,3,0
11,89,54,43,24,30,0,9,4,0
10,127,55,69,40,3,0,21,3,1
2,130,88,80,75,13,0,23,17,1
5,112,68,87,21,76,34,12,12,0
10,115,76,50,53,2,0,30,10,0
8,124,90,56,76,25,0,25,8,0
7,94,88,65,54,0,0,25,5,1
6,104,83,66,56,11,0,14,3,1
5,82,78,56,43,1,0,7,8,2
5,142,95,56,69,0,0,8,6,0
6,136,86,62,77,1,0,9,3,0
10,75,60,50,37,10,0,8,3,0
5,138,92,60,54,2,0,11,9,0
6,105,61,74,40,29,0,10,5,2!
5,182,94,53,62,2,0,6,10,1
11,130,66,58,28,21,0,13,3,1
---------------------------------------------------
6,166,81,63,89,14,0,5,8,1
1,122,72,66,34,4,0,8,8,0
6,126,87,70,62,3,0,24,5,0
12,130,73,76,79,8,0,34,14,0
8,146,37,46,23,55,0,14,3,0
7,114,90,70,76,3,0,34,8,1
11,80,89,50,50,3,0,20,6,2
8,112,68,50,19,13,0,6,5,1
4,96,82,45,40,23,0,7,6,0
8,99,58,77,23,79,34,15,3,0
1,79,72,54,67,23,0,10,38,0
8,123,69,92,20,76,30,12,5,0
4,136,54,81,21,81,23,15,6,1
5,107,74,57,41,6,0,26,10,1
8,109,67,74,46,3,0,14,5,2!
11,119,82,72,70,5,0,28,4,0
6,144,57,75,21,80,28,24,8,1
1,126,69,62,29,1,0,8,4,0
2,180,86,59,89,40,0,4,12,1
5,110,73,59,45,14,0,3,4,0
4,135,73,56,75,3,0,28,3,1
11,113,69,26,16,2,0,10,4,2
9,164,70,51,40,3,0,28,5,0
10,82,77,42,41,0,0,12,13,0
6,120,78,70,76,10,0,33,6,1
11,118,81,64,63,16,0,14,14,0
12,91,39,56,36,81,0,32,3,0
1,95,78,47,15,5,0,68,4,0
------------------------------------------------
6,123,54,92,22,81,25,23,8,0
4,118,58,52,12,1,0,6,4,2
11,102,82,74,65,7,0,8,11,1
12,200,76,30,77,40,0,15,14,0
7,136,55,51,28,15,0,24,3,0
9,105,78,63,56,1,6,39,4,0
9,109,69,73,76,10,0,11,7,2!
6,128,84,70,60,1,0,18,7,1
5,146,62,51,27,21,0,9,5,0
1,108,51,85,17,83,21,16,11,0
5,138,83,77,94,11,0,8,4,1
8,134,73,55,65,2,0,36,4,0
3,98,81,61,37,0,0,21,4,0
8,160,70,56,58,12,0,14,15,1
4,112,85,65,53,0,0,35,4,1
6,161,61,60,19,80,28,32,3,0
2,107,89,75,83,22,0,39,11,0
6,128,77,57,56,6,0,18,4,1
5,90,82,41,43,2,0,31,4,0
10,120,55,69,40,39,0,9,6,0
7,96,66,67,15,0,0,15,3,1
11,112,75,27,23,2,0,10,4,0
1,125,84,64,80,8,0,11,7,0
4,99,57,77,20,80,28,25,5,0
10,166,91,51,87,7,0,7,13,1
6,110,69,68,51,9,0,12,4,0
10,136,42,82,18,86,21,15,8,2
11,170,71,34,51,14,0,12,17,1
--------------------------------------------------
10,88,87,39,34,1,0,37,6,1
9,140,80,82,82,5,0,20,7,0
10,158,47,56,12,23,0,8,4,1
11,158,86,42,45,6,0,28,20,0
4,122,73,35,40,20,0,35,6,0
6,91,72,64,36,2,0,5,4,1
1,136,76,55,60,1,0,14,3,1
3,126,69,47,23,0,0,30,6,0
2,103,87,64,34,0,0,43,4,1
5,122,58,80,65,16,0,14,4,0
10,122,79,39,69,35,0,34,4,0
